b_fighter,gender,weightclass,b_age,b_stance,b_heightcms,b_reachcms,b_weightlbs,b_record,b_losses,b_draws,b_wins,b_winbydecisionmajority,b_winbydecisionunanimous,b_winsbydecisionmajority,b_winsbydecisionsplit,b_winsbydecisionunanimous,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,b_matchwcrank,b_pfprank
James Irvin,MALE,Middleweight,31.0,Orthodox,187.96,190.5,205.0,4.0-4.0-0.0,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,
Jon Jones,MALE,Light Heavyweight,22.0,Orthodox,193.04,213.36,205.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,1.0,0.0,,
Chase Gormley,MALE,Heavyweight,27.0,Orthodox,190.5,196.0,265.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Paul Buentello,MALE,Heavyweight,36.0,Orthodox,187.96,195.58,245.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,,
Shannon Gugerty,MALE,Lightweight,28.0,Orthodox,177.8,180.34,155.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,
Darren Elkins,MALE,Lightweight,25.0,Orthodox,177.8,180.34,145.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Vladimir Matyushenko,MALE,Light Heavyweight,39.0,Orthodox,182.88,187.96,205.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,3.0,0.0,,3.0,1.0,0.0,0.0,,
Jason Brilz,MALE,Light Heavyweight,34.0,Orthodox,180.34,180.34,205.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Daniel Roberts,MALE,Welterweight,29.0,Southpaw,177.8,187.96,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Gabriel Gonzaga,MALE,Heavyweight,30.0,Orthodox,187.96,193.04,242.0,7.0-3.0-0.0,3.0,0.0,7.0,0.0,0.0,0.0,,0.0,5.0,2.0,0.0,,
