finish,finishdetails,winner,finishround,totalfighttimesecs
KO/TKO,,Red,1.0,181.0
KO/TKO,Elbow,Blue,1.0,199.0
KO/TKO,Punches,Red,1.0,47.0
KO/TKO,Elbows,Red,3.0,676.0
SUB,Arm Triangle,Red,2.0,520.0
KO/TKO,,Blue,1.0,44.0
S-DEC,,Blue,3.0,900.0
U-DEC,,Blue,3.0,900.0
KO/TKO,Punch,Red,1.0,121.0
KO/TKO,Punches,Red,1.0,233.0
U-DEC,,Red,3.0,900.0
KO/TKO,Punches,Blue,1.0,228.0
U-DEC,,Red,5.0,1500.0
SUB,Rear Naked Choke,Red,2.0,560.0
DQ,,Red,3.0,690.0
KO/TKO,Punches,Red,1.0,167.0
SUB,Rear Naked Choke,Red,2.0,510.0
SUB,Heel Hook,Red,1.0,45.0
KO/TKO,Punches,Blue,1.0,253.0
KO/TKO,Punches,Red,1.0,289.0
S-DEC,,Red,3.0,900.0
SUB,Rear Naked Choke,Red,3.0,772.0
KO/TKO,Punches,Blue,2.0,329.0
KO/TKO,Punch,Red,1.0,39.0
KO/TKO,,Red,2.0,467.0
SUB,Anaconda Choke,Blue,1.0,295.0
U-DEC,,Blue,5.0,1500.0
KO/TKO,Kick,Red,3.0,728.0
KO/TKO,Punches,Blue,2.0,470.0
KO/TKO,Punches,Red,3.0,880.0
SUB,Guillotine Choke,Red,2.0,521.0
SUB,Armbar,Blue,2.0,570.0
KO/TKO,,Blue,1.0,162.0
KO/TKO,Punches,Blue,2.0,564.0
KO/TKO,Punches,Blue,1.0,215.0
KO/TKO,Punches,Red,2.0,383.0
SUB,Rear Naked Choke,Blue,2.0,505.0
M-DEC,,Blue,3.0,900.0
SUB,Rear Naked Choke,Blue,2.0,430.0
SUB,Guillotine Choke,Blue,1.0,66.0
KO/TKO,Punches,Blue,1.0,133.0
KO/TKO,Knee,Red,1.0,208.0
,,Blue,,
KO/TKO,Punch,Blue,3.0,755.0
KO/TKO,Punches,Red,3.0,893.0
KO/TKO,Punch,Blue,1.0,295.0
KO/TKO,Elbows,Blue,2.0,547.0
SUB,Guillotine Choke,Blue,1.0,105.0
SUB,Triangle Choke,Red,3.0,884.0
,,Red,,
SUB,Guillotine Choke,Blue,2.0,408.0
KO/TKO,Punches,Red,2.0,557.0
SUB,Rear Naked Choke,Red,2.0,521.0
KO/TKO,Punches,Blue,1.0,272.0
KO/TKO,Punches,Blue,2.0,565.0
KO/TKO,Punches,Blue,2.0,492.0
KO/TKO,Punch,Red,1.0,67.0
SUB,Arm Triangle,Red,2.0,439.0
SUB,Triangle Choke,Red,3.0,880.0
SUB,Armbar,Red,2.0,422.0
KO/TKO,Slam,Red,3.0,755.0
KO/TKO,Punches,Blue,2.0,488.0
SUB,Armbar,Blue,2.0,485.0
SUB,Triangle Choke,Red,3.0,790.0
KO/TKO,Punches,Blue,2.0,569.0
SUB,Armbar,Blue,1.0,41.0
SUB,Rear Naked Choke,Blue,1.0,149.0
KO/TKO,,Blue,3.0,741.0
KO/TKO,Elbows,Red,1.0,112.0
KO/TKO,Punch,Blue,1.0,64.0
SUB,Triangle Choke,Red,5.0,1390.0
SUB,Injury,Red,3.0,711.0
KO/TKO,Punches,Blue,2.0,375.0
KO/TKO,Punches,Red,2.0,340.0
SUB,Arm Triangle,Red,1.0,195.0
KO/TKO,Punch,Red,2.0,322.0
SUB,Guillotine Choke,Red,2.0,413.0
SUB,Armbar,Red,1.0,121.0
SUB,Armbar,Red,3.0,791.0
SUB,Guillotine Choke,Red,3.0,842.0
SUB,Arm Triangle,Red,1.0,199.0
KO/TKO,Punches,Red,1.0,67.0
SUB,Rear Naked Choke,Red,2.0,409.0
SUB,Rear Naked Choke,Blue,3.0,745.0
KO/TKO,Punches,Red,1.0,208.0
SUB,Guillotine Choke,Red,1.0,133.0
SUB,Armbar,Blue,1.0,63.0
SUB,Guillotine Choke,Red,1.0,227.0
,,,,
SUB,Rear Naked Choke,Blue,2.0,461.0
KO/TKO,Punch,Blue,1.0,267.0
KO/TKO,Punches,Blue,3.0,648.0
SUB,Triangle Choke,Red,1.0,285.0
SUB,Rear Naked Choke,Red,3.0,703.0
KO/TKO,Punches,Blue,1.0,252.0
SUB,Arm Triangle,Red,3.0,681.0
KO/TKO,Punches,Red,1.0,108.0
SUB,Anaconda Choke,Blue,1.0,73.0
SUB,Rear Naked Choke,Red,1.0,217.0
SUB,Kneebar,Blue,1.0,141.0
SUB,Rear Naked Choke,Red,2.0,393.0
KO/TKO,Punches,Blue,1.0,226.0
KO/TKO,Elbows,Red,1.0,140.0
SUB,Kimura,Red,2.0,463.0
KO/TKO,Punches,Blue,1.0,107.0
SUB,Guillotine Choke,Blue,2.0,431.0
KO/TKO,Punch,Blue,1.0,21.0
KO/TKO,Kicks,Blue,3.0,626.0
