r_fighter,b_fighter,date,month,year,gender,location,city,state,country,finish,finishdetails,finishround,totalfighttimesecs,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,b_odds,b_age,b_stance,b_heightcms,b_reachcms,b_weightlbs,r_matchwcrank,r_pfprank,b_matchwcrank,b_pfprank
Alessio Sakara,James Irvin,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,KO/TKO,,1.0,181.0,False,Middleweight,3.0,0.0,5.08,-3.0,7.62,-120.0,28.0,Orthodox,182.88,182.88,185.0,100.0,31.0,Orthodox,187.96,190.5,205.0,,,,
Brandon Vera,Jon Jones,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,KO/TKO,Elbow,1.0,199.0,False,Light Heavyweight,3.0,0.0,2.54,10.0,20.32,215.0,32.0,Orthodox,190.5,193.04,230.0,-235.0,22.0,Orthodox,193.04,213.36,205.0,,,,
Brendan Schaub,Chase Gormley,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,KO/TKO,Punches,1.0,47.0,False,Heavyweight,3.0,0.0,-2.54,0.0,-2.12,-260.0,27.0,Orthodox,193.04,198.12,245.0,220.0,27.0,Orthodox,190.5,196.0,265.0,,,,
Cheick Kongo,Paul Buentello,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,KO/TKO,Elbows,3.0,676.0,False,Heavyweight,3.0,0.0,-5.08,-2.0,-12.7,-345.0,34.0,Orthodox,193.04,208.28,240.0,315.0,36.0,Orthodox,187.96,195.58,245.0,,,,
Clay Guida,Shannon Gugerty,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,SUB,Arm Triangle,2.0,520.0,False,Lightweight,3.0,0.0,7.62,0.0,2.54,-420.0,28.0,Orthodox,170.18,177.8,155.0,335.0,28.0,Orthodox,177.8,180.34,155.0,,,,
Duane Ludwig,Darren Elkins,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,KO/TKO,,1.0,44.0,False,Lightweight,3.0,0.0,0.0,6.0,2.54,-155.0,31.0,Orthodox,177.8,177.8,170.0,135.0,25.0,Orthodox,177.8,180.34,145.0,,,,
Eliot Marshall,Vladimir Matyushenko,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,S-DEC,,3.0,900.0,False,Light Heavyweight,3.0,0.0,-5.08,-10.0,-7.62,145.0,29.0,Orthodox,187.96,195.58,205.0,-165.0,39.0,Orthodox,182.88,187.96,205.0,,,,
Eric Schafer,Jason Brilz,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,U-DEC,,3.0,900.0,False,Light Heavyweight,3.0,0.0,-10.16,-2.0,-10.16,140.0,32.0,Orthodox,190.5,190.5,185.0,-160.0,34.0,Orthodox,180.34,180.34,205.0,,,,
John Howard,Daniel Roberts,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,KO/TKO,Punch,1.0,121.0,False,Welterweight,3.0,0.0,7.62,-2.0,7.62,-210.0,27.0,Orthodox,170.18,180.34,170.0,175.0,29.0,Southpaw,177.8,187.96,170.0,,,,
Junior Dos Santos,Gabriel Gonzaga,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,KO/TKO,Punches,1.0,233.0,False,Heavyweight,3.0,0.0,-5.08,-4.0,-2.54,-250.0,26.0,Orthodox,193.04,195.58,238.0,230.0,30.0,Orthodox,187.96,193.04,242.0,,,,
Mike Pierce,Julio Paulino,2010-03-21,3,2010,MALE,"Broomfield, Colorado, USA",Broomfield,Colorado,USA,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,10.16,-5.0,7.62,-420.0,29.0,Orthodox,172.72,177.8,170.0,335.0,34.0,Orthodox,182.88,185.42,170.0,,,,
Ben Saunders,Jon Fitch,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,-5.08,-6.0,-2.54,295.0,26.0,Orthodox,187.96,195.58,170.0,-325.0,32.0,Orthodox,182.88,193.04,170.0,,,,
Frank Mir,Shane Carwin,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,KO/TKO,Punches,1.0,228.0,True,Heavyweight,5.0,0.0,-2.54,-5.0,2.54,-150.0,30.0,Southpaw,190.5,200.66,264.0,140.0,35.0,Orthodox,187.96,203.2,265.0,,,,
Georges St-Pierre,Dan Hardy,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,U-DEC,,5.0,1500.0,True,Welterweight,5.0,0.0,2.54,1.0,-5.08,-650.0,28.0,Orthodox,180.34,193.04,185.0,550.0,27.0,Orthodox,182.88,187.96,170.0,,,,
Jim Miller,Mark Bocek,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,U-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,0.0,-2.0,10.16,-320.0,26.0,Southpaw,172.72,180.34,155.0,290.0,28.0,Orthodox,172.72,190.5,155.0,,,,
Kurt Pellegrino,Fabricio Camoes,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,SUB,Rear Naked Choke,2.0,560.0,False,Lightweight,3.0,0.0,5.08,-1.0,7.62,-210.0,30.0,Orthodox,172.72,177.8,155.0,190.0,31.0,Orthodox,177.8,185.42,155.0,,,,
Matthew Riddle,Greg Soto,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,DQ,,3.0,690.0,False,Welterweight,3.0,0.0,-5.08,1.0,-2.54,-230.0,24.0,Southpaw,185.42,187.96,170.0,190.0,23.0,Orthodox,180.34,185.42,170.0,,,,
Nate Diaz,Rory Markham,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,KO/TKO,Punches,1.0,167.0,False,Welterweight,3.0,0.0,0.0,-4.0,-12.7,-235.0,24.0,Southpaw,182.88,193.04,170.0,195.0,28.0,Orthodox,182.88,180.34,170.0,,,,
